# Electron linewidth = 2*Im(Sigma) (meV)
#      ik       ibnd                 E(ibnd)      Im(Sigma)(meV)
       78         11   -0.12984852089099E+00    0.94925394046426E+01
       78         12   -0.97112370018951E-01    0.80359428096025E+01
       79         11   -0.10279715387082E+00    0.85420771687163E+01
       79         12   -0.75004389475819E-01    0.57382285407648E+01
       80         11   -0.67626166964795E-01    0.55791285199065E+01
       80         12   -0.43323274311866E-01    0.59135828060435E+01
       81         11   -0.16549092337585E+01    0.67029733938695E+00
       81         12   -0.84133651593489E-01    0.84238427559079E+01
       82         11   -0.17199707240626E+01    0.49564713033550E+00
       82         12    0.95455589657054E-01    0.11802005228077E+02
       83         11   -0.19506933239006E-01    0.76321737502088E+01
       83         12    0.63821183645484E-02    0.85344707324217E+01
       84         11   -0.17197966313976E+01    0.49585299568641E+00
       84         12    0.95102668846322E-01    0.11863921861894E+02
       85         11   -0.16543090841339E+01    0.67885355521468E+00
       85         12   -0.85170828063756E-01    0.85365647752906E+01
       86         11   -0.18272522403123E+01    0.21795020160502E+00
       86         12    0.56627284678287E-02    0.75543701605248E+01
       87         11    0.56081561148078E-01    0.10594119092873E+02
       87         12    0.72702992776533E-01    0.10723430237402E+02
       88         11   -0.18275128837133E+01    0.22004416239468E+00
       88         12    0.80981244629263E-02    0.76495226878983E+01
       89         11   -0.16006057320249E+01    0.13693716213125E+01
       89         12    0.13787119519723E-01    0.77277997936527E+01
       90         11   -0.16008713660229E+01    0.13780267571100E+01
       90         12    0.12944072389297E-01    0.76348428586296E+01
       91         11   -0.12716197736304E+01    0.29938948915547E+00
       91         12    0.88868847128651E-02    0.79413427609849E+01
       92         11   -0.12724188634738E+01    0.28655096153720E+00
       92         12    0.72809725109661E-02    0.78458099395142E+01
       93         11   -0.73737004202781E+00    0.20658010087116E+01
       93         12   -0.97642027111116E-02    0.87637298269543E+01
       94         11    0.47000205350634E-01    0.11972944418531E+02
       94         12    0.42739508120397E+00    0.16968693078591E+02
       95         11    0.46681106222767E-01    0.11981455787332E+02
       95         12    0.42726972563619E+00    0.16945904327961E+02
       96         11   -0.73682408208840E+00    0.20744336181556E+01
       96         12   -0.91083979618682E-02    0.88134607502140E+01
       97         11    0.57403070693360E-01    0.11497160893883E+02
       97         12    0.57404112298031E-01    0.11497160893883E+02
       98         11    0.57439293737109E-01    0.11519792696073E+02
       98         12    0.57440334864044E-01    0.11519792696073E+02
       99         11   -0.76377791646391E-01    0.59757657879926E+01
       99         12   -0.33685912460030E-01    0.60491566063595E+01
      100         11   -0.63840876259286E-01    0.50332183655238E+01
      100         12   -0.22727787178963E-01    0.67936730257068E+01
      101         11   -0.28664996636908E-01    0.60930856091966E+01
      101         12    0.88904356417886E-02    0.72372946668417E+01
      102         11    0.26805611360334E-01    0.87686761869388E+01
      102         12    0.57216695211341E-01    0.84575951020969E+01
      103         11    0.99824346696089E-01    0.89945301919565E+01
      103         12    0.12652321309371E+00    0.73368580746567E+01
      104         11   -0.15626025525685E+01    0.73763516010044E+00
      104         12    0.69649273793182E-01    0.11021565950007E+02
      105         11   -0.15811281072754E+01    0.10734197629634E+01
      105         12    0.10892610731596E+00    0.10786202129685E+02
      106         11   -0.15803043459492E+01    0.10662979587789E+01
      106         12    0.10735563078579E+00    0.10957513665684E+02
      107         11   -0.18272513283986E+01    0.21795569604810E+00
      107         12    0.56623053940108E-02    0.75543544468728E+01
      108         11   -0.18277314286307E+01    0.21866426533137E+00
      108         12    0.80985070366714E-02    0.76540021392254E+01
      109         11   -0.15733728128100E+01    0.87075496509158E+00
      109         12   -0.36464364816353E-01    0.55232042452028E+01
      110         11    0.28209605314813E-02    0.94764506461660E+01
      110         12    0.10161552980578E+01    0.40486847449347E+01
      111         11   -0.56619201026177E-03    0.94334059782584E+01
      111         12    0.10189964307974E+01    0.40871608951129E+01
      112         11   -0.15724666066517E+01    0.83756608399699E+00
      112         12   -0.33806298757921E-01    0.57470271472667E+01
      113         11   -0.12153652439632E+01    0.38081946403631E+00
      113         12    0.10427376823153E-02    0.72213292723485E+01
      114         11   -0.12170673720643E+01    0.37889046073497E+00
      114         12   -0.21066465556349E-02    0.71769083270774E+01
      115         11   -0.68572238851088E+00    0.16701516349790E+01
      115         12    0.28624756901496E-01    0.91551212820568E+01
      116         11    0.14402373017167E+00    0.86225400248211E+01
      116         12    0.79418824156420E+00    0.13608240393535E+01
      117         11    0.14443366976767E+00    0.86228041137401E+01
      117         12    0.79454307396559E+00    0.13810284784093E+01
      118         11   -0.68572238835642E+00    0.16629714776696E+01
      118         12    0.28624757126674E-01    0.90399449577380E+01
